"cycle","time","temp","well","a600","strain"
8,12599.6,30.1,"D5",0.1075,"1FH2"
8,12599.6,30.1,"D6",0.1615,"1F5"
8,12599.6,30.1,"D7",0.1345,"1F1"
8,12599.6,30.1,"E1",0.0938,"CONTROL"
8,12599.6,30.1,"E2",0.0999,"DH5A"
8,12599.6,30.1,"E3",0.0892,"DRAD"
8,12599.6,30.1,"E4",0.1096,"CM1"
8,12599.6,30.1,"E5",0.1243,"1FH2"
8,12599.6,30.1,"E6",0.1636,"1F5"
8,12599.6,30.1,"E7",0.1298,"1F1"
8,12599.6,30.1,"F1",0.0951,"CONTROL"
8,12599.6,30.1,"F2",0.0984,"DH5A"
8,12599.6,30.1,"F3",0.0943,"DRAD"
8,12599.6,30.1,"F4",0.1119,"CM1"
8,12599.6,30.1,"F5",0.1156,"1FH2"
8,12599.6,30.1,"F6",0.1583,"1F5"
8,12599.6,30.1,"F7",0.1394,"1F1"
8,12599.6,30.1,"G1",0.0922,"CONTROL"
8,12599.6,30.1,"G2",0.0989,"DH5A"
8,12599.6,30.1,"G3",0.0884,"DRAD"
8,12599.6,30.1,"G4",0.1119,"CM1"
8,12599.6,30.1,"G5",0.1189,"1FH2"
8,12599.6,30.1,"G6",0.1539,"1F5"
8,12599.6,30.1,"G7",0.1298,"1F1"
8,12599.6,30.1,"H1",0.0961,"CONTROL"
8,12599.6,30.1,"H2",0.1,"DH5A"
8,12599.6,30.1,"H3",0.0962,"DRAD"
8,12599.6,30.1,"H4",0.1079,"CM1"
8,12599.6,30.1,"H5",0.1105,"1FH2"
8,12599.6,30.1,"H6",0.1601,"1F5"
9,14399.6,30.1,"A1",0.0957,"CONTROL"
9,14399.6,30.1,"A2",0.1027,"DH5A"
9,14399.6,30.1,"A3",0.0911,"DRAD"
9,14399.6,30.1,"A4",0.132,"CM1"
9,14399.6,30.1,"A5",0.13,"1FH2"
9,14399.6,30.1,"A6",0.1982,"1F5"
9,14399.6,30.1,"A7",0.1578,"1F1"
9,14399.6,30.1,"B1",0.0941,"CONTROL"
9,14399.6,30.1,"B2",0.1027,"DH5A"
9,14399.6,30.1,"B3",0.0943,"DRAD"
9,14399.6,30.1,"B4",0.1356,"CM1"
9,14399.6,30.1,"B5",0.1285,"1FH2"
9,14399.6,30.1,"B6",0.194,"1F5"
9,14399.6,30.1,"B7",0.14,"1F1"
9,14399.6,30.1,"C1",0.0917,"CONTROL"
9,14399.6,30.1,"C2",0.104,"DH5A"
9,14399.6,30.1,"C3",0.0923,"DRAD"
9,14399.6,30.1,"C4",0.1324,"CM1"
9,14399.6,30.1,"C5",0.1269,"1FH2"
9,14399.6,30.1,"C6",0.1996,"1F5"
9,14399.6,30.1,"C7",0.1439,"1F1"
9,14399.6,30.1,"D1",0.0938,"CONTROL"
9,14399.6,30.1,"D2",0.0988,"DH5A"
9,14399.6,30.1,"D3",0.0944,"DRAD"
9,14399.6,30.1,"D4",0.1327,"CM1"
9,14399.6,30.1,"D5",0.122,"1FH2"
9,14399.6,30.1,"D6",0.1933,"1F5"
9,14399.6,30.1,"D7",0.1541,"1F1"
9,14399.6,30.1,"E1",0.0939,"CONTROL"
9,14399.6,30.1,"E2",0.1032,"DH5A"
9,14399.6,30.1,"E3",0.0895,"DRAD"
9,14399.6,30.1,"E4",0.1296,"CM1"
9,14399.6,30.1,"E5",0.139,"1FH2"
9,14399.6,30.1,"E6",0.1976,"1F5"
9,14399.6,30.1,"E7",0.1459,"1F1"
9,14399.6,30.1,"F1",0.0943,"CONTROL"
9,14399.6,30.1,"F2",0.1013,"DH5A"
9,14399.6,30.1,"F3",0.0943,"DRAD"
9,14399.6,30.1,"F4",0.1298,"CM1"
9,14399.6,30.1,"F5",0.1321,"1FH2"
9,14399.6,30.1,"F6",0.1944,"1F5"
9,14399.6,30.1,"F7",0.1577,"1F1"
9,14399.6,30.1,"G1",0.0917,"CONTROL"
9,14399.6,30.1,"G2",0.1036,"DH5A"
9,14399.6,30.1,"G3",0.0889,"DRAD"
9,14399.6,30.1,"G4",0.132,"CM1"
9,14399.6,30.1,"G5",0.1384,"1FH2"
9,14399.6,30.1,"G6",0.1911,"1F5"
9,14399.6,30.1,"G7",0.1455,"1F1"
9,14399.6,30.1,"H1",0.0975,"CONTROL"
9,14399.6,30.1,"H2",0.1026,"DH5A"
9,14399.6,30.1,"H3",0.0964,"DRAD"
9,14399.6,30.1,"H4",0.127,"CM1"
9,14399.6,30.1,"H5",0.1319,"1FH2"
9,14399.6,30.1,"H6",0.195,"1F5"
10,16199.6,30.2,"A1",0.0945,"CONTROL"
10,16199.6,30.2,"A2",0.1082,"DH5A"
10,16199.6,30.2,"A3",0.0912,"DRAD"
10,16199.6,30.2,"A4",0.1554,"CM1"
10,16199.6,30.2,"A5",0.1385,"1FH2"
10,16199.6,30.2,"A6",0.2289,"1F5"
10,16199.6,30.2,"A7",0.1702,"1F1"
10,16199.6,30.2,"B1",0.0941,"CONTROL"
10,16199.6,30.2,"B2",0.11,"DH5A"
10,16199.6,30.2,"B3",0.0944,"DRAD"
10,16199.6,30.2,"B4",0.1567,"CM1"
10,16199.6,30.2,"B5",0.1363,"1FH2"
10,16199.6,30.2,"B6",0.2192,"1F5"
10,16199.6,30.2,"B7",0.1663,"1F1"
10,16199.6,30.2,"C1",0.0916,"CONTROL"
10,16199.6,30.2,"C2",0.111,"DH5A"
10,16199.6,30.2,"C3",0.0923,"DRAD"
10,16199.6,30.2,"C4",0.1561,"CM1"
10,16199.6,30.2,"C5",0.1387,"1FH2"
10,16199.6,30.2,"C6",0.2287,"1F5"
10,16199.6,30.2,"C7",0.1568,"1F1"
10,16199.6,30.2,"D1",0.0942,"CONTROL"
10,16199.6,30.2,"D2",0.1033,"DH5A"
10,16199.6,30.2,"D3",0.0944,"DRAD"
10,16199.6,30.2,"D4",0.1586,"CM1"
10,16199.6,30.2,"D5",0.1315,"1FH2"
10,16199.6,30.2,"D6",0.2275,"1F5"
